name,shape,h_mm,b_mm,tw_mm,tf_mm,r_mm,A_cm2,mass_kgm,Iy_cm4,Wel_y_cm3,Wpl_y_cm3,iy_cm,Iz_cm4,Wel_z_cm3,Wpl_z_cm3,iz_cm
UC203x203x52,H,206.2,204.3,7.9,12.5,10.2,66.3,52.0,5260.0,510.0,567.0,8.91,1780.0,174.0,264.0,5.18
UC203x203x46,H,203.2,203.6,7.2,11.0,10.2,58.7,46.1,4570.0,450.0,497.0,8.82,1550.0,152.0,231.0,5.13
UC152x152x51,H,170.2,157.4,11.0,15.7,7.6,65.2,51.2,3230.0,379.0,438.0,7.04,1020.0,130.0,199.0,3.96
UC152x152x44,H,166.0,155.9,9.5,13.6,7.6,56.1,44.0,2700.0,326.0,372.0,6.94,860.0,110.0,169.0,3.92
UC152x152x37,H,161.8,154.4,8.0,11.5,7.6,47.1,37.0,2210.0,273.0,309.0,6.85,706.0,91.5,140.0,3.87
UC152x152x30,H,157.6,152.9,6.5,9.4,7.6,38.3,30.0,1750.0,222.0,248.0,6.76,560.0,73.3,112.0,3.83
UC152x152x23,H,152.4,152.2,5.8,6.8,7.6,29.2,23.0,1250.0,164.0,182.0,6.54,400.0,52.6,80.1,3.7
UB1016x305x584,I,1056.0,314.0,36.0,64.0,30.0,744.0,584.0,1246000.0,23600.0,28000.0,40.9,33400.0,2130.0,3480.0,6.7
UB1016x305x494,I,1036.0,309.0,31.0,54.0,30.0,629.0,494.0,1028000.0,19800.0,23400.0,40.4,26800.0,1740.0,2820.0,6.53
UB1016x305x438,I,1026.0,305.0,26.9,49.0,30.0,556.0,438.0,910000.0,17700.0,20800.0,40.4,23400.0,1540.0,2470.0,6.49
UB1016x305x415,I,1020.0,304.0,26.0,46.0,30.0,529.0,415.0,853000.0,16700.0,19600.0,40.2,21700.0,1430.0,2300.0,6.41
UB1016x305x393,I,1015.9,303.0,24.4,43.9,30.0,500.0,392.7,808000.0,15900.0,18500.0,40.2,20500.0,1350.0,2170.0,6.4
UB1016x305x350,I,1008.0,302.0,21.1,40.0,30.0,445.0,350.0,723000.0,14300.0,16600.0,40.3,18500.0,1220.0,1940.0,6.44
UB1016x305x314,I,999.9,300.0,19.1,35.9,30.0,400.0,314.3,644000.0,12900.0,14800.0,40.1,16200.0,1080.0,1710.0,6.37
